"","cache_hit_percent","bucket_hit_percent","context_accuracy_percent","prefetch_accuracy_percent","vm_workload_duration_ns_q48","cache_hit_latency_ns","total_lookups","cache_hits","bucket_hits","cache_hit_stddev_ns","bucket_search_latency_ns","bucket_search_stddev_ns"
"cache_hit_percent",1,0.966521979539432,0.71638157122423,0.71638157122423,0.238525657421403,0.974120810293147,0.9809796555533,0.999999977388937,0.966511915685192,0.111901994429143,0.973821107577685,0.0600115865601138
"bucket_hit_percent",0.966521979539432,1,0.526635772018305,0.526635772018305,0.140191529205287,0.975351514776719,0.997944033439899,0.966491725267931,0.99999999737808,0.125037606188366,0.982727504364965,0.0921538315963677
"context_accuracy_percent",0.71638157122423,0.526635772018305,1,1,0.463748240964627,0.625126284280481,0.577350269189626,0.716461006400724,0.526599303946903,0.0409264718325133,0.602747046051947,-0.014990525888046
"prefetch_accuracy_percent",0.71638157122423,0.526635772018305,1,1,0.463748240964627,0.625126284280481,0.577350269189626,0.716461006400724,0.526599303946903,0.0409264718325133,0.602747046051947,-0.014990525888046
"vm_workload_duration_ns_q48",0.238525657421403,0.140191529205287,0.463748240964627,0.463748240964627,1,0.196961365229824,0.165636580644947,0.238568908423332,0.140172990379459,-0.0128776252407652,0.200688504998757,0.0271127986160675
"cache_hit_latency_ns",0.974120810293147,0.975351514776719,0.625126284280481,0.625126284280481,0.196961365229824,1,0.9811945423026,0.974106375566706,0.975345633878191,0.282360934118986,0.972229156615659,0.0796920087354865
"total_lookups",0.9809796555533,0.997944033439899,0.577350269189626,0.577350269189626,0.165636580644947,0.9811945423026,1,0.980956762926716,0.997941518168081,0.122544491220718,0.986700171773529,0.0847060842623668
"cache_hits",0.999999977388937,0.966491725267931,0.716461006400724,0.716461006400724,0.238568908423332,0.974106375566706,0.980956762926716,1,0.966481647864447,0.11189984615411,0.97380392043531,0.0600116081039447
"bucket_hits",0.966511915685192,0.99999999737808,0.526599303946903,0.526599303946903,0.140172990379459,0.975345633878191,0.997941518168081,0.966481647864447,1,0.125036401543442,0.982723052888849,0.0921528441469793
"cache_hit_stddev_ns",0.111901994429143,0.125037606188366,0.0409264718325133,0.0409264718325133,-0.0128776252407652,0.282360934118986,0.122544491220718,0.11189984615411,0.125036401543442,1,0.113287670683265,-0.00744425150718654
"bucket_search_latency_ns",0.973821107577685,0.982727504364965,0.602747046051947,0.602747046051947,0.200688504998757,0.972229156615659,0.986700171773529,0.97380392043531,0.982723052888849,0.113287670683265,1,0.211944831104694
"bucket_search_stddev_ns",0.0600115865601138,0.0921538315963677,-0.014990525888046,-0.014990525888046,0.0271127986160675,0.0796920087354865,0.0847060842623668,0.0600116081039447,0.0921528441469793,-0.00744425150718654,0.211944831104694,1
